"",weight,持ち,画質,使い勝手,バランス,レスポンス,操作性,ホールド感,携帯性,もち,写り,精度,位置,質感,機能,ホールド性,条件,目,色,気持ち,デザイン,・画質,視認性,コストパフォーマンス,画像,レンズ,ハンドリング,グリップ感,見え,解像度,AF,感じ,反応,AF精度,感度,発色,質,重さ,・操作性,3．ホールド感,・携帯性,天気,CP,性能,感触,相性,・デザイン,光,応答性,取り付け位置,構造
weight,"",0.222030315566746,0.131201011645695,0.0837238498836329,0.0704152607500539,0.0552979588506609,0.0430011727191111,0.0346100682610292,0.0328002529114237,0.0326265018661708,0.0218668352742825,0.0165176137943921,0.016025641025641,0.015486475575472,0.0132761468969156,0.0130598826853288,0.0130598826853288,0.0130598826853288,0.0130598826853288,0.0130111524163569,0.0130111524163569,0.0109334176371412,0.0109334176371412,0.00929368029739777,0.00825880689719604,0.00825880689719604,0.00825880689719604,0.00825880689719604,0.00825880689719604,0.00825880689719604,0.00825880689719604,0.00743494423791822,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.00557620817843866,0.00557620817843866,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00320512820512821,0.00320512820512821,0.00320512820512821
は良いですね,0.00250120020285519,2,5,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はありませんが,0.00244101676201168,1,4,0,0,0,1,2,7,1,0,0,0,1,6,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
を考えれば,0.00238367750093131,0,2,0,5,0,1,1,3,0,2,0,0,0,12,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
は悪くないです,0.00230850520828914,1,0,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
がイマイチ,0.00230796005768935,0,1,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いという,0.00225724127335185,3,2,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
が悪かったので,0.00225469878296979,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
には満足しています,0.00225401638650404,1,12,1,0,0,1,1,1,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
はありますが,0.00224541335194917,1,9,0,0,0,3,0,0,0,1,0,0,3,4,0,0,0,0,0,4,0,0,0,0,2,0,0,0,1,2,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
も悪い,0.00221183949887706,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は感じません,0.00220743407985238,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
がありません,0.00217554515623995,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
はいい,0.00215243437570298,1,3,0,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は思いますが,0.0021075334267673,1,7,0,0,0,3,2,2,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
は悪くないと,0.00209843863028665,1,1,2,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がある,0.00205459511496061,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,5,0,0,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,1,0
にありますが,0.00205324116699717,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
はよいと,0.00203032887146571,1,1,1,1,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
という点では,0.00199313698930601,1,2,2,0,0,4,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよければ,0.00198720698349744,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
に優れた,0.00196479910313871,0,1,0,0,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
が感じられた,0.00196191667121014,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよいので,0.0019523115236782,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
に満足しています,0.00194879598967607,1,4,1,0,0,1,0,0,0,2,0,0,1,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
は満足しています,0.00192066996144984,0,8,1,0,0,1,0,2,0,3,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
で決めました,0.00192044447174574,1,0,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
もいいですね,0.00186254923600363,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は気に入っています,0.00184515372656495,0,5,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
も思います,0.00183103197951496,1,5,1,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いとは,0.00182265838968218,1,2,2,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
